Family - Full Name,Start Date,Collectors - Last Name,Latitude1,Longitude1,Country - Full Name,State - Full Name,County - Full Name,Locality,Zoogeography - Full Name,Unique Identifier
Formicidae,,,,,,,,N/A,,CUIC000001471
Formicidae,,,,,,,,N/A,Afrotropical,CUIC000002197
Formicidae,,,,,,,,N/A,Nearctic,CUIC000009874
Formicidae,,,,,,,,N/A,Nearctic,CUIC000009875
Formicidae,,,,,,,,N/A,Nearctic,CUIC000010337
Formicidae,,,,,,,,N/A,Nearctic,CUIC000010338
Formicidae,,,,,,,,N/A,Nearctic,CUIC000010461
Formicidae,,,,,,,,N/A,Neotropical,CUIC000001865
Formicidae,,,,,,,,N/A,Neotropical,CUIC000009741
Formicidae,,,,,,,,NA,Afrotropical,CUIC000010004
Formicidae,,,,,,,,NA,Afrotropical,CUIC000010006
Formicidae,,,,,,,,NA,Australasian,CUIC000010697
Formicidae,,,,,,,,NA,Indomalayan,CUIC000009947
Formicidae,,,,,,,,NA,Indomalayan,CUIC000009959
Formicidae,,,,,,,,NA,Indomalayan,CUIC000009960
Formicidae,,,,,,,,NA,Nearctic,CUIC000007312
Formicidae,,,,,,,,NA,Nearctic,CUIC000007666
Formicidae,,,,,,,,NA,Nearctic,CUIC000009355
Formicidae,,,,,,,,NA,Nearctic,CUIC000009356
Formicidae,,,,,,,,NA,Nearctic,CUIC000010891
Formicidae,,,,,,,,NA,Neotropical,CUIC000008454
Formicidae,,,,,,,,NA,Palearctic,CUIC000001309
Formicidae,,,,,,,,NA,Palearctic,CUIC000008715
Formicidae,,,,,,,,NA,Palearctic,CUIC000008771
Formicidae,,,,,,,,NA,Palearctic,CUIC000010623
Formicidae,,,,,,,,NA,Palearctic,CUIC000010628
Formicidae,,,,,,,,NA,Unknown,CUIC000009333
Formicidae,,,,,,,,NA,Unknown,CUIC000009334
Formicidae,,,,,,,,NA,Unknown,CUIC000009411
Formicidae,,,,,Argentina,Tucuman,,La Cavera,Neotropical,CUIC000114028
Formicidae,,,,,Australia,New South Wales,City of Sydney,Sydney,Australasian,CUIC000007289
Formicidae,,,,,Belize,,,N/A,Neotropical,CUIC000009821
Formicidae,,,,,Belize,,,NA,Neotropical,CUIC000009048
Formicidae,,,,,Brazil,Amazonas,,Rio Solimoes,Neotropical,CUIC000008555
Formicidae,,,,,Brazil,Amazonas,,Rio Solimoes,Neotropical,CUIC000008565
Formicidae,,,,,Brazil,Sao Paulo,,Hammar Coll.,Neotropical,CUIC000008065
Formicidae,,,,,Colombia,Distrito Capital,Caracas,Los Caobos,Neotropical,CUIC000009652
Formicidae,,,,,Colombia,Distrito Capital,Caracas,Los Caobos,Neotropical,CUIC000009653
Formicidae,,,,,Madagascar,,,Sikora,Afrotropical,CUIC000009303
Formicidae,,,,,Madagascar,,,Sikora,Afrotropical,CUIC000009304
Formicidae,,,,,Madagascar,,,Sikora,Afrotropical,CUIC000009413
Formicidae,,,,,Madagascar,,,Sikora,Afrotropical,CUIC000010129
Formicidae,,,,,Madagascar,,,Sikora,Afrotropical,CUIC000010130
Formicidae,,,,,Madagascar,,,Sikora,Afrotropical,CUIC000010143
Formicidae,,,,,Mexico,Coahuila,,"Highway 57, pass 25km E Saltillo",Nearctic,CUIC000115290
Formicidae,,,,,Mexico,Coahuila,,"Highway 57, pass 25km E Saltillo",Nearctic,CUIC000115297
Formicidae,,,,,Mexico,Nuevo Leon,,Linares,Neotropical,CUIC000115535
Formicidae,,,,,N/A,,,N/A,Nearctic,CUIC000009832
Formicidae,,,,,Panama,Amazonas,,Rio Igara Parana,Neotropical,CUIC000009080
Formicidae,,,,,Peru,Junin,Chanchamayo,El Campamento,Neotropical,CUIC000008089
Formicidae,,,,,Philippines,,,Banahao,Indomalayan,CUIC000116353
Formicidae,,,,,United States,,,NA,Nearctic,CUIC000010029
Formicidae,,,,,United States,California,Alameda County,Berkeley,Nearctic,CUIC000010743
Formicidae,,,,,United States,California,Alameda County,Berkeley,Nearctic,CUIC000010744
Formicidae,,,,,United States,California,Alameda County,Berkeley,Nearctic,CUIC000010745
Formicidae,,,,,United States,California,Alameda County,Berkeley,Nearctic,CUIC000010746
Formicidae,,,,,United States,California,Alameda County,Berkeley,Nearctic,CUIC000010747
Formicidae,,,,,United States,California,Los Angeles County,Los Angeles,Nearctic,CUIC000116273
Formicidae,,,,,United States,California,Los Angeles County,Los Angeles,Nearctic,CUIC000116274
Formicidae,,,,,United States,California,Riverside County,San Jacinto,Nearctic,CUIC000115499
Formicidae,,,,,United States,California,Santa Clara County,San Jose,Nearctic,CUIC000115490
Formicidae,,,,,United States,California,Sonoma County,Fetters Hot Springs-Agua Caliente,Nearctic,CUIC000115500
Formicidae,,,,,United States,Florida,Alachua County,Gainesville,Nearctic,CUIC000009426
Formicidae,,,,,United States,Mississippi,Jackson County,Pascagoula,Nearctic,CUIC000011259
Formicidae,,,,,United States,Nebraska,Gosper County,Elwood,Nearctic,CUIC000010033
Formicidae,,,,,United States,New York,,NA,Nearctic,CUIC000010013
Formicidae,,,,,United States,New York,Cattaraugus County,Otto,Nearctic,CUIC000007278
Formicidae,,,,,United States,New York,Cattaraugus County,Otto,Nearctic,CUIC000007283
Formicidae,,,,,United States,New York,Tompkins County,Ithaca,Nearctic,CUIC000008301
Formicidae,,,,,United States,New York,Tompkins County,Ithaca,Nearctic,CUIC000008302
Formicidae,,,,,United States,North Carolina,Buncombe County,Swannanoa,Nearctic,CUIC000010064
Formicidae,,,,,United States,North Carolina,Wake County,Raleigh,Nearctic,CUIC000009415
Formicidae,,,,,United States,Ohio,Columbiana County,Salineville,Nearctic,CUIC000010764
Formicidae,,,,,United States,Ohio,Columbiana County,Salineville,Nearctic,CUIC000010765
Formicidae,,,,,United States,Ohio,Columbiana County,Salineville,Nearctic,CUIC000010766
Formicidae,,,,,United States,Texas,Cameron County,Brownsville,Nearctic,CUIC000009773
Formicidae,,,,,United States,Texas,Cameron County,Brownsville,Nearctic,CUIC000009774
